Gmt time,Open,High,Low,Close,Volume
06.10.2020 17:27:00.000,115.178,115.228,115.107,115.147,1526679.9927
06.10.2020 17:28:00.000,115.158,115.208,115.147,115.187,1343870.0438
06.10.2020 17:29:00.000,115.188,115.228,115.168,115.197,1324620.0085
06.10.2020 17:30:00.000,115.187,115.248,115.187,115.238,1407909.9894
06.10.2020 17:31:00.000,115.248,115.258,115.077,115.137,2826869.9646
06.10.2020 17:32:00.000,115.138,115.138,115.097,115.097,1668759.9421
06.10.2020 17:33:00.000,115.097,115.157,115.097,115.108,1363579.9885
06.10.2020 17:34:00.000,115.118,115.118,114.967,114.987,2347949.9817
06.10.2020 17:35:00.000,114.988,114.998,114.927,114.957,1785599.947
06.10.2020 17:36:00.000,114.948,114.948,114.807,114.887,2788680.0766
06.10.2020 17:37:00.000,114.877,114.958,114.877,114.958,2023809.9098
06.10.2020 17:38:00.000,114.957,115.008,114.937,114.948,2005850.0767
06.10.2020 17:39:00.000,114.938,114.998,114.917,114.978,2526870.0123
06.10.2020 17:40:00.000,114.978,115.007,114.947,114.977,1423789.978
06.10.2020 17:41:00.000,114.988,115.068,114.977,115.027,2545850.0385
06.10.2020 17:42:00.000,115.027,115.068,114.987,115.047,2327889.9193
06.10.2020 17:43:00.000,115.057,115.058,114.907,114.947,4847579.9561
06.10.2020 17:44:00.000,114.937,114.988,114.937,114.947,1484789.9675
06.10.2020 17:45:00.000,114.938,114.968,114.837,114.887,1964560.0319
06.10.2020 17:46:00.000,114.888,114.918,114.827,114.858,2184060.0967
